2,1669901636.975345077;1669901636.828031435,1669901637.127330361;1669901636.990044042,1669901637.277522354;1669901637.141850396,1669901637.429830203;1669901637.291935543,1669901637.578853177;1669901637.443622529
4,1669901638.004435722;1669901637.605892389,1669901638.300417162;1669901638.017864392,1669901638.562293178;1669901638.314978416,1669901638.860143264;1669901638.575701676,1669901639.263112840;1669901638.873859057
8,1669901639.759425830;1669901639.289975205,1669901640.214205627;1669901639.770100380,1669901640.639441799;1669901640.224500167,1669901641.061042739;1669901640.650101492,1669901641.562330796;1669901641.077393148
16,1669901642.257142055;1669901641.602315555,1669901642.879370138;1669901642.268218452,1669901643.599082344;1669901642.890118471,1669901644.322932116;1669901643.609334579,1669901645.059583173;1669901644.335967019
32,1669901646.222713557;1669901645.083413609,1669901647.338016546;1669901646.231680589,1669901648.426744926;1669901647.351266686,1669901649.475641190;1669901648.435687641,1669901650.434564340;1669901649.484287750
64,1669901651.374831804;1669901650.455614118,1669901652.388098097;1669901651.384763511,1669901653.727180219;1669901652.400036898,1669901654.777765775;1669901653.739643533,1669901655.653845256;1669901654.791017496
