2,1669901920.323144656;1669901918.803443880,1669901922.058395671;1669901920.336771010,1669901923.547260046;1669901922.072610455,1669901925.198000952;1669901923.558224118,1669901926.693093374;1669901925.211587813
4,1669901928.775006707;1669901926.716079674,1669901930.660863817;1669901928.786918315,1669901932.641110514;1669901930.675623720,1669901934.886047575;1669901932.653094261,1669901936.933608405;1669901934.897939470
8,1669901939.224654533;1669901936.955706607,1669901941.378596313;1669901939.234734531,1669901943.567808102;1669901941.389270497,1669901945.787221214;1669901943.578588677,1669901948.152127884;1669901945.798369588
16,1669901950.580826066;1669901948.176050524,1669901952.811390582;1669901950.589812908,1669901955.034054071;1669901952.819527675,1669901957.288298454;1669901955.042016804,1669901959.508766956;1669901957.296556765
32,1669901963.356261549;1669901959.524249563,1669901967.231202715;1669901963.364555758,1669901970.980472019;1669901967.239397124,1669901974.880368997;1669901970.988940915,1669901978.692807248;1669901974.889251410
64,1669901982.712350785;1669901978.709769016,1669901986.696845449;1669901982.721358362,1669901990.696996686;1669901986.705210005,1669901994.635796463;1669901990.705324776,1669901998.623463730;1669901994.643819980
