2,1669739157.091388993;1669739156.994027914,1669739157.194911430;1669739157.104775304,1669739157.298167622;1669739157.208671240,1669739157.401713044;1669739157.312008421,1669739157.505667676;1669739157.415370182
4,1669739157.786100802;1669739157.532324558,1669739158.063184780;1669739157.798956938,1669739158.494491277;1669739158.076329963,1669739158.671920372;1669739158.506034590,1669739158.940908841;1669739158.686038604
8,1669739159.321098573;1669739158.966281525,1669739159.685496528;1669739159.334861598,1669739160.015438572;1669739159.698437100,1669739160.400357644;1669739160.028629568,1669739160.724144362;1669739160.413574639
16,1669739161.176171515;1669739160.750507297,1669739161.642989848;1669739161.189744465,1669739162.090407785;1669739161.658359425,1669739162.620647410;1669739162.108786153,1669739163.102512650;1669739162.638893354
32,1669739163.965786470;1669739163.138205769,1669739164.826135049;1669739163.989631251,1669739165.672320482;1669739164.839993677,1669739166.504895796;1669739165.686387816,1669739167.321758921;1669739166.518161807
64,1669739168.863871590;1669739167.349281586,1669739170.338209521;1669739168.877946445,1669739171.864015395;1669739170.352421746,1669739173.338971555;1669739171.878281654,1669739174.807643827;1669739173.352291261
