2,1669740423.963305395;1669740422.599251920,1669740425.193896229;1669740423.976879784,1669740426.715104240;1669740425.207369776,1669740428.028350380;1669740426.729363431,1669740429.597499979;1669740428.039352258
4,1669740431.709271034;1669740429.620871145,1669740433.674909367;1669740431.722216004,1669740435.629858986;1669740433.686612436,1669740437.601894455;1669740435.641539726,1669740439.321692773;1669740437.615592731
8,1669740441.505568455;1669740439.347782813,1669740443.533744899;1669740441.518848658,1669740445.880636150;1669740443.547438839,1669740448.114336722;1669740445.894288416,1669740450.136673335;1669740448.126139604
16,1669740452.255782142;1669740450.157895825,1669740454.323105814;1669740452.263749431,1669740456.422305412;1669740454.331334962,1669740458.359748178;1669740456.430905708,1669740460.347923036;1669740458.368347551
32,1669740464.107999174;1669740460.365190875,1669740467.922563889;1669740464.115986102,1669740471.693151443;1669740467.930825906,1669740475.397082902;1669740471.701258580,1669740479.156730900;1669740475.405368990
64,1669740484.570591708;1669740479.172278328,1669740489.763735612;1669740484.579272182,1669740494.815054623;1669740489.772173420,1669740501.396306721;1669740494.823576652,1669740506.335409972;1669740501.404486470
