2,1669738925.832514539;1669738925.721226502,1669738925.952040743;1669738925.840762138,1669738926.119011724;1669738925.959900317,1669738926.382445343;1669738926.132054909,1669738926.646017357;1669738926.396042090
4,1669738927.006596018;1669738926.674012265,1669738927.363938379;1669738927.020255235,1669738927.728920180;1669738927.377841393,1669738928.079167807;1669738927.743023943,1669738928.423445312;1669738928.092652509
8,1669738928.879549264;1669738928.451127953,1669738929.338191750;1669738928.893813248,1669738929.823361932;1669738929.351755591,1669738930.229507689;1669738929.836385861,1669738930.652780595;1669738930.243018329
16,1669738931.170224237;1669738930.680426097,1669738931.641628454;1669738931.183828671,1669738932.131361395;1669738931.655359873,1669738932.597437024;1669738932.144934897,1669738933.093549155;1669738932.611288947
32,1669738933.599201765;1669738933.121349735,1669738934.137132913;1669738933.614898236,1669738934.624923058;1669738934.156797655,1669738935.114216284;1669738934.642372912,1669738935.591823487;1669738935.137627173
64,1669738936.180526317;1669738935.637931896,1669738936.711526708;1669738936.194203556,1669738937.197077244;1669738936.726089678,1669738937.713712526;1669738937.210397936,1669738938.226930166;1669738937.727751371
