2,1669901859.839216157;1669901859.736383548,1669901859.950256759;1669901859.848192813,1669901860.085126033;1669901859.958585642,1669901860.269567013;1669901860.097331516,1669901860.454092555;1669901860.281547018
4,1669901860.795912523;1669901860.479964469,1669901861.100113709;1669901860.809896228,1669901861.429579244;1669901861.113968824,1669901861.862909430;1669901861.444268470,1669901862.177190075;1669901861.876894155
8,1669901862.590634046;1669901862.205296963,1669901862.926707531;1669901862.604936104,1669901863.252164844;1669901862.940280130,1669901863.618827544;1669901863.265636766,1669901863.975175839;1669901863.632285471
16,1669901864.348007479;1669901864.001921113,1669901864.707684864;1669901864.361822215,1669901865.065911720;1669901864.722130412,1669901865.351083879;1669901865.080421622,1669901865.664749981;1669901865.364436466
32,1669901866.062957333;1669901865.691670271,1669901866.336653178;1669901866.077104656,1669901866.664325813;1669901866.350389753,1669901867.039706696;1669901866.677778817,1669901867.389746722;1669901867.056512233
64,1669901867.866947746;1669901867.424798320,1669901868.241286506;1669901867.880805549,1669901868.636801050;1669901868.254194512,1669901869.041870283;1669901868.648699655,1669901869.457701473;1669901869.054409203
