2,1669743194.589978552;1669743194.571091058,1669743194.613290019;1669743194.591327345,1669743194.633055191;1669743194.614345833,1669743194.651390181;1669743194.634344369,1669743194.667426833;1669743194.652474669
4,1669743194.705389552;1669743194.669490612,1669743194.745662730;1669743194.706510756,1669743194.781590271;1669743194.746732508,1669743194.818667235;1669743194.782623314,1669743194.862078562;1669743194.819625215
8,1669743194.941592018;1669743194.863946634,1669743195.021944326;1669743194.942611056,1669743195.101972814;1669743195.022975896,1669743195.187145964;1669743195.103095617,1669743195.266066977;1669743195.188175372
16,1669743195.347059711;1669743195.268113546,1669743195.454684299;1669743195.348242148,1669743195.547982607;1669743195.455716300,1669743195.625571949;1669743195.549217391,1669743195.706206563;1669743195.626805368
32,1669743195.799883127;1669743195.708511384,1669743195.943108898;1669743195.800994301,1669743196.077609731;1669743195.944228765,1669743196.181151028;1669743196.078636613,1669743196.282220180;1669743196.182515906
64,1669743196.425059402;1669743196.284414568,1669743196.551822145;1669743196.426153087,1669743196.731937673;1669743196.552964347,1669743196.938848664;1669743196.733231351,1669743197.240241635;1669743196.940125917
