2,1669741060.731305737;1669741060.651031498,1669741060.817082980;1669741060.732565556,1669741060.888033763;1669741060.818383350,1669741060.956530832;1669741060.889377411,1669741061.022068647;1669741060.957833023
4,1669741061.089736609;1669741061.024478020,1669741061.158634100;1669741061.090811778,1669741061.228538032;1669741061.159834635,1669741061.303830028;1669741061.229846324,1669741061.379723601;1669741061.305010732
8,1669741061.463818847;1669741061.382366633,1669741061.551530509;1669741061.465124523,1669741061.639116123;1669741061.552757832,1669741061.740311829;1669741061.640749026,1669741061.836502704;1669741061.741585795
16,1669741062.102129125;1669741061.839137209,1669741062.310414333;1669741062.103398093,1669741062.529581900;1669741062.311638956,1669741062.741982908;1669741062.530744175,1669741062.880921165;1669741062.743154221
32,1669741063.368218993;1669741062.883122279,1669741063.759758347;1669741063.369600014,1669741064.075686851;1669741063.761199664,1669741064.465582895;1669741064.077124645,1669741064.827656973;1669741064.470595612
64,1669741065.464721800;1669741064.830335212,1669741066.066736689;1669741065.465989364,1669741066.605561936;1669741066.068118398,1669741067.138943714;1669741066.606957535,1669741067.955621496;1669741067.140422927
