2,1669900731.779278503;1669900731.702964087,1669900731.851472887;1669900731.780487084,1669900731.920354531;1669900731.852695696,1669900731.988295715;1669900731.921398501,1669900732.055413796;1669900731.989458531
4,1669900732.121908661;1669900732.057406988,1669900732.194700859;1669900732.122925830,1669900732.263477373;1669900732.195692674,1669900732.328892840;1669900732.264642342,1669900732.397375845;1669900732.329904504
8,1669900732.466603424;1669900732.399424195,1669900732.534395094;1669900732.467806997,1669900732.602546095;1669900732.535426662,1669900732.670517512;1669900732.603720889,1669900732.738361857;1669900732.671598464
16,1669900732.808074269;1669900732.740422429,1669900732.876661019;1669900732.809069016,1669900732.943895480;1669900732.877630060,1669900733.012280797;1669900732.944881474,1669900733.081235245;1669900733.013674228
32,1669900733.150241690;1669900733.083280069,1669900733.217678916;1669900733.151291865,1669900733.285897052;1669900733.218803753,1669900733.353071472;1669900733.287046744,1669900733.421026590;1669900733.354213442
64,1669900733.491586671;1669900733.423102049,1669900733.559960313;1669900733.492783901,1669900733.627482278;1669900733.560947945,1669900733.695232031;1669900733.628470179,1669900733.762633546;1669900733.696250513
