2,1669743327.775551094;1669743327.419576934,1669743328.036181813;1669743327.776614525,1669743328.343536024;1669743328.037601220,1669743328.604145558;1669743328.344718293,1669743328.858447107;1669743328.605208517
4,1669743329.171230927;1669743328.860931291,1669743329.528938111;1669743329.172411607,1669743329.880084638;1669743329.530126512,1669743330.196676811;1669743329.881434076,1669743330.518363272;1669743330.197755356
8,1669743330.864241417;1669743330.520400116,1669743331.225928705;1669743330.865483465,1669743331.590298686;1669743331.227380959,1669743331.961223165;1669743331.592092046,1669743332.312762466;1669743331.962566914
16,1669743332.655236350;1669743332.315152910,1669743333.001638388;1669743332.656457651,1669743333.344504821;1669743333.002859479,1669743333.712999675;1669743333.345622746,1669743334.066060114;1669743333.714296335
32,1669743334.431373930;1669743334.068208051,1669743334.779915404;1669743334.432776527,1669743335.148841095;1669743334.781147965,1669743335.496733525;1669743335.150154340,1669743335.861794633;1669743335.497984836
64,1669743336.251656486;1669743335.864341896,1669743336.601319009;1669743336.252916203,1669743336.966012388;1669743336.602571198,1669743337.314073022;1669743336.967277802,1669743337.680298316;1669743337.315335977
