2,1669727038.607687550;1669727038.568083062,1669727038.650613118;1669727038.609038543,1669727038.667550797;1669727038.651841029,1669727038.683781450;1669727038.669140164,1669727038.711076137;1669727038.684690616
4,1669727038.756266339;1669727038.713366199,1669727038.803233657;1669727038.757532604,1669727038.839718373;1669727038.804706894,1669727038.882399688;1669727038.840875218,1669727038.923966331;1669727038.884145789
8,1669727038.982297474;1669727038.926045523,1669727039.045695138;1669727038.983671900,1669727039.110265885;1669727039.046722159,1669727039.175812619;1669727039.111605681,1669727039.239885935;1669727039.177664139
16,1669727039.295145979;1669727039.242107567,1669727039.352293096;1669727039.296545883,1669727039.400744810;1669727039.353652430,1669727039.448666725;1669727039.401709911,1669727039.496898018;1669727039.449695336
32,1669727039.553436343;1669727039.499460187,1669727039.631745726;1669727039.554466718,1669727039.696146362;1669727039.632898687,1669727039.751505065;1669727039.697460214,1669727039.818294029;1669727039.752588146
64,1669727039.902628325;1669727039.820932341,1669727039.978978775;1669727039.903861632,1669727040.042858466;1669727039.980709533,1669727040.115889072;1669727040.044047858,1669727040.183595884;1669727040.116984100
